"ID" "Gene"
"A_06_P2361" "YDR369C"
"A_06_P3815" "YIL015W"
"A_06_P6247" "YOL055C"
"A_06_P3129" "YGL174W"
"A_06_P5920" "YNL149C"
"A_06_P1727" "YCR106W"
"A_06_P2916" "YFR021W"
"A_06_P6679" "YOR315W"
"A_06_P7138" "YPR091C"
"A_06_P1717" "YCR097W"
"A_06_P5254" "YLR436C"
"A_06_P6228" "YOL037C"
"A_06_P3528" "YHL010C"
"A_06_P3539" "YHL021C"
"A_06_P4176" "YJL155C"
"A_06_P2655" "YER031C"
"A_06_P4305" "YJR062C"
"A_06_P5036" "YLR222C"
"A_06_P1184" "YBL054W"
"A_06_P6405" "YOR043W"
"A_06_P1192" "YBL061C"
"A_06_P3765" "YHR187W"
"A_06_P5805" "YNL034W"
"A_06_P5340" "YML053C"
"A_06_P5180" "YLR363C"
"A_06_P2268" "YDR279W"
"A_06_P3962" "NM_001270749"
"A_06_P4903" "YLR091W"
"A_06_P1801" "YDL072C"
"A_06_P4964" "YLR150W"
"A_06_P1409" "YBR157C"
"A_06_P5907" "YNL136W"
"A_06_P5115" "YLR299W"
"A_06_P6045" "YNL273W"
"A_06_P5584" "YMR152W"
"A_06_P4668" "YKR031C"
"A_06_P2907" "YFR012W-A"
"A_06_P2299" "YDR310C"
"A_06_P5138" "YLR321C"
"A_06_P3948" "YIL149C"
"A_06_P6756" "YOR392W"
"A_06_P2664" "YER039C-A"
"A_06_P6312" "YOL119C"
"A_06_P3847" "YIL047C"
"A_06_P7064" "YPR018W"
"A_06_P4153" "YJL132W"
"A_06_P1322" "YBR074W"
"A_06_P4727" "YKR089C"
"A_06_P6812" "YPL053C"
"A_06_P4253" "YJR007W"
"A_06_P4262" "YJR015W"
"A_06_P6525" "YOR163W"
"A_06_P4833" "YLR021W"
"A_06_P5201" "YLR383W"
"A_06_P6751" "YOR387C"
"A_06_P2206" "YDR217C"
"A_06_P1583" "YCL031C"
"A_06_P4019" "YIR042C"
"A_06_P4050" "YJL029C"
"A_06_P6986" "YPL226W"
"A_06_P3589" "YHR019C"
"A_06_P4998" "YLR184W"
"A_06_P6624" "YOR263C"
"A_06_P4835" "YLR023C"
"A_06_P3757" "YHR179W"
"A_06_P3585" "YHR015W"
"A_06_P2013" "YDR028C"
"A_06_P3675" "YHR100C"
"A_06_P2137" "YDR149C"
"A_06_P1917" "YDL183C"
"A_06_P4802" "YLL057C"
"A_06_P4238" "YJL216C"
"A_06_P1294" "YBR047W"
"A_06_P1089" "YAL064W"
"A_06_P1536" "YBR282W"
"A_06_P4537" "YKL125W"
"A_06_P1057" "YAL034W-A"
"A_06_P4820" "YLR008C"
"A_06_P2071" "YDR083W"
"A_06_P2414" "YDR421W"
"A_06_P1975" "YDL240C-A"
"A_06_P2724" "YER092W"
"A_06_P3145" "YGL190C"
"A_06_P6265" "YOL073C"
"A_06_P5205" "YLR387C"
"A_06_P3579" "YHR009C"
"A_06_P1787" "YDL058W"
"A_06_P3096" "YGL141W"
"A_06_P7097" "YPR051W"
"A_06_P7005" "YPL245W"
"A_06_P1565" "YCL009C"
"A_06_P2912" "YFR017C"
"A_06_P3322" "YGR102C"
"A_06_P3597" "YHR026W"
"A_06_P1619" "YCL069W"
"A_06_P3077" "YGL122C"
"A_06_P6130" "YNR019W"
"A_06_P7045" "YPR001W"
"A_06_P7213" "YPR165W"
"A_06_P3442" "YGR221C"
"A_06_P2575" "YEL034W"
"A_06_P3238" "NM_001270747"
"A_06_P6763" "YPL004C"
"A_06_P6138" "YNR027W"
"A_06_P1896" "YDL162C"
"A_06_P4825" "YLR013W"
"A_06_P4481" "YKL071W"
"A_06_P4013" "YIR036C"
"A_06_P1598" "YCL046W"
"A_06_P6628" "YOR267C"
"A_06_P1034" "YAL012W"
"A_06_P2306" "YDR317W"
"A_06_P5368" "YML079W"
"A_06_P1909" "YDL175C"
"A_06_P7059" "YPR014C"
"A_06_P2455" "YDR462W"
"A_06_P5778" "YNL007C"
"A_06_P5144" "YLR327C"
"A_06_P1757" "YDL029W"
"A_06_P1677" "YCR051W"
"A_06_P3685" "YHR110W"
"A_06_P4441" "YKL033W"
"A_06_P5521" "YMR092C"
"A_06_P6172" "YNR059W"
"A_06_P5444" "YMR016C"
"A_06_P4927" "YLR114C"
"A_06_P2828" "YFL005W"
"A_06_P6144" "YNR032W"
"A_06_P6963" "YPL203W"
"A_06_P2351" "YDR360W"
"A_06_P3808" "YIL009W"
"A_06_P1444" "YBR191W"
"A_06_P5121" "YLR305C"
"A_06_P4327" "YJR085C"
"A_06_P6883" "YPL124W"
"A_06_P5864" "YNL093W"
"A_06_P1438" "YBR185C"
"A_06_P6076" "YNL304W"
"A_06_P3146" "YGL191W"
"A_06_P3768" "YHR190W"
"A_06_P4093" "YJL071W"
"A_06_P7178" "YPR131C"
"A_06_P4598" "YKL185W"
"A_06_P1350" "YBR099C"
"A_06_P6567" "YOR205C"
"A_06_P1863" "YDL131W"
"A_06_P1269" "YBR022W"
"A_06_P6381" "YOR019W"
"A_06_P2154" "YDR166C"
"A_06_P6483" "YOR121C"
"A_06_P5658" "YMR219W"
"A_06_P4990" "YLR176C"
"A_06_P2641" "YER018C"
"A_06_P5793" "YNL022C"
"A_06_P3623" "YHR050W"
"A_06_P1516" "YBR262C"
"A_06_P1763" "YDL035C"
"A_06_P3158" "YGL203C"
"A_06_P7233" "YPR185W"
"A_06_P1629" "YCR008W"
"A_06_P1093" "YAL067C"
"A_06_P3216" "YGL259W"
"A_06_P4753" "YLL009C"
"A_06_P6681" "YOR317W"
"A_06_P6474" "YOR112W"
"A_06_P4258" "YJR011C"
"A_06_P4408" "YKL002W"
"A_06_P4770" "YLL025W"
"A_06_P3612" "YHR040W"
"A_06_P3199" "YGL243W"
"A_06_P5917" "YNL146W"
"A_06_P1839" "YDL109C"
"A_06_P2877" "YFL051C"
"A_06_P1606" "YCL055W"
"A_06_P4405" "YJR161C"
"A_06_P2133" "YDR145W"
"A_06_P1950" "YDL215C"
"A_06_P1212" "YBL080C"
"A_06_P2416" "YDR423C"
"A_06_P4496" "YKL086W"
"A_06_P4834" "YLR022C"
"A_06_P5032" "YLR218C"
"A_06_P1845" "YDL114W-A"
"A_06_P6321" "YOL128C"
"A_06_P3580" "YHR010W"
"A_06_P6034" "YNL262W"
"A_06_P1079" "YAL055W"
"A_06_P6422" "YOR060C"
"A_06_P6752" "YOR388C"
"A_06_P1963" "YDL228C"
"A_06_P6594" "YOR232W"
"A_06_P6622" "YOR261C"
"A_06_P4279" "YJR036C"
"A_06_P4801" "YLL056C"
"A_06_P3125" "YGL170C"
"A_06_P5206" "YLR388W"
"A_06_P6238" "YOL047C"
"A_06_P4366" "YJR123W"
"A_06_P5002" "YLR188W"
"A_06_P3462" "YGR241C"
"A_06_P5231" "YLR413W"
"A_06_P4943" "YLR130C"
"A_06_P6093" "YNL321W"
"A_06_P4626" "YKL214C"
"A_06_P2465" "YDR472W"
"A_06_P4819" "YLR007W"
"A_06_P5057" "YLR243W"
"A_06_P5218" "YLR400W"
"A_06_P2784" "YER151C"
"A_06_P1746" "YDL018C"
"A_06_P4832" "YLR020C"
"A_06_P1915" "YDL181W"
"A_06_P2301" "YDR312W"
"A_06_P7118" "YPR072W"
"A_06_P4415" "YKL008C"
"A_06_P6252" "YOL060C"
"A_06_P6118" "YNR007C"
"A_06_P6828" "YPL069C"
"A_06_P1728" "YCR107W"
"A_06_P6641" "YOR280C"
"A_06_P5509" "YMR081C"
"A_06_P5600" "YMR165C"
"A_06_P1372" "YBR120C"
"A_06_P3213" "YGL257C"
"A_06_P6754" "YOR390W"
"A_06_P2404" "YDR411C"
"A_06_P1402" "YBR150C"
"A_06_P1161" "YBL031W"
"A_06_P7007" "YPL247C"
"A_06_P2471" "YDR478W"
"A_06_P1253" "YBR006W"
"A_06_P1046" "YAL024C"
"A_06_P4750" "YLL006W"
"A_06_P4645" "YKR008W"
"A_06_P3057" "YGL102C"
"A_06_P5926" "YNL155W"
"A_06_P2914" "YFR019W"
"A_06_P4879" "YLR067C"
"A_06_P6721" "YOR357C"
"A_06_P1562" "YCL005W"
"A_06_P3113" "YGL158W"
"A_06_P2756" "YER123W"
"A_06_P3390" "YGR169C"
"A_06_P6994" "YPL234C"
"A_06_P6573" "YOR211C"
"A_06_P3512" "YGR290W"
"A_06_P6005" "YNL233W"
"A_06_P5053" "YLR239C"
"A_06_P5475" "YMR047C"
"A_06_P7243" "YPR195C"
"A_06_P5266" "YLR447C"
"A_06_P6323" "YOL130W"
"A_06_P4078" "YJL057C"
"A_06_P1859" "YDL128W"
"A_06_P3148" "YGL193C"
"A_06_P5752" "YMR309C"
"A_06_P2531" "YDR537C"
"A_06_P6277" "YOL085C"
"A_06_P1166" "YBL036C"
"A_06_P5414" "YML120C"
"A_06_P1195" "YBL064C"
"A_06_P3367" "YGR146C"
"A_06_P7071" "YPR025C"
"A_06_P5224" "YLR406C"
"A_06_P5229" "YLR411W"
"A_06_P3343" "YGR122W"
"A_06_P6975" "YPL215W"
"A_06_P3012" "YGL057C"
"A_06_P6022" "YNL250W"
"A_06_P6313" "YOL120C"
"A_06_P5023" "YLR209C"
"A_06_P5558" "YMR127C"
"A_06_P5007" "YLR193C"
"A_06_P3888" "YIL089W"
"A_06_P5636" "YMR197C"
"A_06_P4911" "YLR099C"
"A_06_P2606" "YEL064C"
"A_06_P6988" "YPL228W"
"A_06_P1930" "YDL195W"
"A_06_P1788" "YDL059C"
"A_06_P1518" "YBR264C"
"A_06_P2727" "YER094C"
"A_06_P3814" "YIL014C-A"
"A_06_P1709" "YCR089W"
"A_06_P2628" "YER007C-A"
"A_06_P6586" "YOR224C"
"A_06_P6893" "YPL134C"
"A_06_P6759" "YOR396W"
"A_06_P2244" "YDR255C"
"A_06_P3432" "YGR211W"
"A_06_P6702" "YOR338W"
"A_06_P4186" "YJL164C"
"A_06_P7016" "YPL255W"
"A_06_P2703" "YER072W"
"A_06_P6014" "YNL242W"
"A_06_P2006" "YDR021W"
"A_06_P1002" "Q0017"
"A_06_P3400" "YGR179C"
"A_06_P4477" "YKL067W"
"A_06_P3155" "YGL200C"
"A_06_P2736" "YER103W"
"A_06_P5566" "YMR135C"
"A_06_P4501" "YKL091C"
"A_06_P4600" "YKL187C"
"A_06_P1608" "YCL057C-A"
"A_06_P2999" "YGL044C"
"A_06_P1531" "YBR277C"
"A_06_P2399" "YDR406W"
"A_06_P1568" "YCL014W"
"A_06_P6442" "YOR080W"
"A_06_P4180" "YJL158C"
"A_06_P2609" "YEL067C"
"A_06_P1505" "YBR251W"
"A_06_P1107" "YAR027W"
"A_06_P4434" "YKL026C"
"A_06_P3040" "YGL085W"
"A_06_P2989" "YGL034C"
"A_06_P2492" "YDR499W"
"A_06_P3467" "YGR246C"
"A_06_P2418" "YDR425W"
"A_06_P6645" "YOR284W"
"A_06_P4743" "YKR105C"
"A_06_P3435" "YGR214W"
"A_06_P4839" "YLR027C"
"A_06_P6165" "YNR052C"
"A_06_P3061" "YGL106W"
"A_06_P7140" "YPR093C"
