"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P1957" 6.5029814 0.126816566666667 28.6150203599713 1.7223551469503e-08 1.33237483091769e-06 10.5394644007286
"A_06_P1552" 4.03176436666667 -0.0111416166666667 28.5657491386726 1.74302318806935e-08 1.33237483091769e-06 10.527227829435
"A_06_P4705" 2.57579106666667 -0.0377958666666666 28.5432728738796 1.75254541146178e-08 1.33237483091769e-06 10.5216375099431
"A_06_P4321" -2.84269413333333 0.0338502666666667 -28.5184086089646 1.76314862686396e-08 1.33237483091769e-06 10.5154471661637
"A_06_P6650" 2.75220843333333 -0.0446136833333333 28.4791247136394 1.78005070893582e-08 1.33237483091769e-06 10.5056537945172
"A_06_P3410" 2.22091296666667 0.00164875000000001 28.4145474219823 1.80823921094971e-08 1.33237483091769e-06 10.4895200487706
"A_06_P4806" -2.6884817 -0.0119760833333334 -28.4006802087687 1.81435866142556e-08 1.33237483091769e-06 10.4860498587181
"A_06_P4488" -2.87936396666667 -0.0492873166666667 -28.3749623242934 1.82577041073001e-08 1.33237483091769e-06 10.4796087994003
"A_06_P2468" 2.1878939 -0.0140511166666667 28.2660722781726 1.87500525382695e-08 1.33237483091769e-06 10.4522605648804
"A_06_P4962" 3.65013203333333 0.0349895833333333 28.228443585515 1.89237043799579e-08 1.33237483091769e-06 10.4427810032718
"A_06_P4444" 3.52193583333333 0.01108455 28.1961031283785 1.90744207262162e-08 1.33237483091769e-06 10.434621748357
"A_06_P6457" -2.56052366666667 -0.0192968 -28.1944350034844 1.90822318026784e-08 1.33237483091769e-06 10.4342005935039
"A_06_P6416" 2.73986373333333 0.0500216666666667 28.1865235532161 1.91193273484871e-08 1.33237483091769e-06 10.4322027733066
"A_06_P2550" 4.64123086666667 -0.0865187666666667 28.1829044273054 1.91363243155205e-08 1.33237483091769e-06 10.4312886415916
"A_06_P4032" -2.0584264 -0.0137923666666666 -28.1700867051268 1.91966608001123e-08 1.33237483091769e-06 10.4280499816609
"A_06_P4842" 3.0071468 -0.0238779333333334 28.1219415450112 1.94252422555097e-08 1.33358510962825e-06 10.4158695799189
"A_06_P6200" -2.46756426666667 -0.0191631333333333 -27.9740861877322 2.0146898396448e-08 1.35622077659632e-06 10.3783090149295
"A_06_P5688" 4.06136803333333 -0.0506181833333333 27.922412307717 2.04062951191592e-08 1.35622077659632e-06 10.3651268512279
"A_06_P3466" -2.06749723333333 -0.02285815 -27.8745084734158 2.06501790896009e-08 1.35622077659632e-06 10.3528807855797
"A_06_P3679" 3.57684386666667 0.0803933 27.8134663268168 2.09657910048247e-08 1.35622077659632e-06 10.3372401712796
"A_06_P4628" -2.06753571333333 -0.00123437666666665 -27.8007392236052 2.10322872185806e-08 1.35622077659632e-06 10.3339740699609
"A_06_P7232" 3.00410163333333 0.0717403833333334 27.7986312244471 2.10433242727105e-08 1.35622077659632e-06 10.3334329337684
"A_06_P6755" 2.97520003333333 0.05550225 27.6785427227934 2.16831464344723e-08 1.3778914340048e-06 10.302525706543
"A_06_P4136" 2.35014643333333 0.0133101833333334 27.6060341912421 2.20802162963931e-08 1.3778914340048e-06 10.2837879044564
"A_06_P2684" -2.81799093333333 -0.0182196333333333 -27.5489601393684 2.23986113508535e-08 1.3778914340048e-06 10.2689981042723
"A_06_P3726" -1.84884866333333 0.0190607716666667 -27.5482735552808 2.24024733440621e-08 1.3778914340048e-06 10.2688199689392
"A_06_P6268" -2.06694826666667 -0.0317198666666667 -27.4668912859007 2.28656789917654e-08 1.3778914340048e-06 10.2476683166833
"A_06_P6344" 2.22918383333333 0.02698675 27.4247799457187 2.31096544774506e-08 1.3778914340048e-06 10.2366945658014
"A_06_P5791" 2.11565616666667 0.00321484999999999 27.4070227015997 2.32134227747607e-08 1.3778914340048e-06 10.2320613164226
"A_06_P5562" -2.22846536666667 0.0480310166666666 -27.3889645928609 2.33194954158982e-08 1.3778914340048e-06 10.2273459647964
"A_06_P3954" 3.55897903333333 0.04706525 27.350537184074 2.35470643544269e-08 1.3778914340048e-06 10.2172996582158
"A_06_P6211" -2.00253043333333 -0.0176979833333333 -27.3481712609153 2.35611581495438e-08 1.3778914340048e-06 10.2166805819672
"A_06_P2657" 2.27297256666667 -0.0332705166666667 27.3087757730951 2.37972587014001e-08 1.37893106383526e-06 10.2063630101185
"A_06_P4514" 2.2893626 -0.0113150333333334 27.2678517826055 2.40453858996771e-08 1.380642339476e-06 10.1956267083061
"A_06_P3864" -2.30469863333333 -0.00518988333333337 -27.0735600266896 2.52644627409522e-08 1.43426144161113e-06 10.144397088819
"A_06_P3460" -2.15481762 -0.00971379999999999 -27.0474839227377 2.54333884516222e-08 1.43426144161113e-06 10.1374889134112
"A_06_P6535" 4.16248803333333 -0.0353118833333334 26.9952016229097 2.57759838657144e-08 1.4407178238571e-06 10.1236147169217
"A_06_P3183" 2.6040694 0.00176253333333332 26.8617900620071 2.66743502405102e-08 1.45905969542608e-06 10.0880691077193
"A_06_P6813" 3.12599416666667 -0.09953395 26.8293119298632 2.68984302819283e-08 1.45905969542608e-06 10.0793847194621
"A_06_P5519" 3.5781587 0.01372115 26.8130412255997 2.70114964492733e-08 1.45905969542608e-06 10.0750294749249
"A_06_P3426" 2.6558091 -0.0391422166666666 26.8084640086146 2.70434015886412e-08 1.45905969542608e-06 10.0738037199711
"A_06_P5072" 4.0304435 -0.03757125 26.777667324214 2.72591900032105e-08 1.45905969542608e-06 10.0655502074863
"A_06_P6589" 1.7684145 0.00560665333333336 26.675548883429 2.79889209936935e-08 1.46583601397942e-06 10.0381034671715
"A_06_P5279" -2.59051066666667 -0.0237333 -26.6523053837031 2.81581189881593e-08 1.46583601397942e-06 10.0318392087039
"A_06_P1047" -2.47476543333333 -0.0110801166666666 -26.6454772861179 2.82080450076108e-08 1.46583601397942e-06 10.02999779368
"A_06_P7072" 2.10604236666667 -0.00291825000000001 26.5445250996026 2.89581172851624e-08 1.46583601397942e-06 10.002708865965
"A_06_P2042" 2.6264292 0.0838648333333333 26.5387249433346 2.9001899551065e-08 1.46583601397942e-06 10.0011373464007
"A_06_P6851" -2.56244393333333 -0.00268133333333331 -26.5280104429308 2.9082976540616e-08 1.46583601397942e-06 9.99823326766871
"A_06_P2692" 2.34224893333333 -0.0434896 26.5238905769242 2.91142205904847e-08 1.46583601397942e-06 9.99711625004504
"A_06_P6146" 2.68206183333333 0.0115407166666666 26.4926183761897 2.93526351630103e-08 1.46583601397942e-06 9.98863088175364
"A_06_P4863" -2.00313713 -0.031254535 -26.4386375480208 2.97694429901508e-08 1.46583601397942e-06 9.97395648939454
"A_06_P4990" 1.94201085666667 -0.0215256916666666 26.4033275249919 3.00457427402843e-08 1.46583601397942e-06 9.96433890601887
"A_06_P4279" 2.03549573333333 -0.0349539 26.3901713605264 3.01494373451172e-08 1.46583601397942e-06 9.96075168939265
"A_06_P5409" -2.36740336666667 -0.0339876833333334 -26.3874692344556 3.01707855948898e-08 1.46583601397942e-06 9.96001466032001
"A_06_P6205" -2.89869913333333 0.0631359333333333 -26.3328961396539 3.06056597620599e-08 1.46694005937797e-06 9.94511067752183
"A_06_P2489" -2.2492866 0.00574986666666666 -26.3263844900321 3.06580253068227e-08 1.46694005937797e-06 9.94332995655761
"A_06_P2333" 4.60732046666667 0.0589428 26.2497458816287 3.12820919442894e-08 1.46776471280557e-06 9.92233356086053
"A_06_P6882" 2.7908173 0.0576232166666667 26.2418966560492 3.13468230946814e-08 1.46776471280557e-06 9.92017914658645
"A_06_P5793" -1.81648797 -0.00502697499999999 -26.2387973067991 3.13724249887194e-08 1.46776471280557e-06 9.91932824882272
"A_06_P5831" -1.86423872333333 0.00686629499999998 -26.1075654921082 3.24786894772852e-08 1.49961475717602e-06 9.8831931000064
"A_06_P5599" 1.78888098666667 -0.00732055666666668 26.0416782181493 3.30508672223536e-08 1.49961475717602e-06 9.8649718494815
"A_06_P4092" 1.90218131 -0.00636069500000003 26.0270660334709 3.31793167122542e-08 1.49961475717602e-06 9.86092363560138
"A_06_P3365" 2.38245966666667 -0.0354515666666667 26.0260289688713 3.31884547517508e-08 1.49961475717602e-06 9.86063622403081
"A_06_P6540" 5.11551413333333 0.106934733333333 26.0102119948781 3.3328182011017e-08 1.49961475717602e-06 9.85625108264328
"A_06_P1483" 3.19894823333333 -0.0341884166666666 25.9827849831619 3.35720680566549e-08 1.49961475717602e-06 9.84863986924409
"A_06_P7242" -3.09891526666667 0.0220093 -25.9667927276487 3.3715214616687e-08 1.49961475717602e-06 9.84419762738163
"A_06_P3382" 2.52437306666667 -0.0323265333333333 25.8613647144762 3.46765353287734e-08 1.53158739256316e-06 9.814833519016
"A_06_P1281" -2.1530946 0.0130068333333333 -25.7663922685396 3.5569396956558e-08 1.56011327206681e-06 9.78826363153998
